Location,Nest,Hatching date (1=1st april),Feather treatments,Feather pigmentation  treatments,Plant treatments,Tarsus length (3 days old),Body mas (3 days old),Number of feathers (day 3),log10 mesophilic bacteria (3 days old),Enterobacteriaceaes (3 days old),Staphylococci (3 days old),log10 Enterococcus (3 days old),log Carnus (day 8),log10 mesophilic bacteria (8days old),Enterobacteriaceaes (8 days old),Staphylococci (8days old),Enterococcus (8 days old),Body mas (14 days old),Tarsus length (14 days old),Rank Telomere length (day 14),Residuals Rank Telomere length (day 14),Dif rank (14-3 days),Residuals Dif rank (14-3 days)
Calahorra,EC85,34,feathers,pigmented,no plants,16.11,25.1,46,0,0,0,0,2.708050201,3.334654767,1,1,3.255272505,57.9,27.57,29,-54.51662,-13,-4.28552
Calahorra,EC85,34,feathers,pigmented,no plants,12.52,21.2,46,0,0,0,0,2.708050201,3.334654767,1,1,3.255272505,67.4,28.59,85,1.48338,-58,-49.28552
Calahorra,EC85,34,feathers,pigmented,no plants,12.7,14,46,0,0,0,0,2.708050201,3.334654767,1,1,3.255272505,73.4,28.99,25,-58.51662,-10,-1.28552
Calahorra,EC87,52,feathers,unpigmented,no plants,15.19,21.6,8,4.2253,1,0,4.358,0.693147181,2.770115295,0,0,2.255272505,72.4,29.08,20,-53.5325,62,51.43895
Calahorra,EC88,34,feathers,unpigmented,no plants,15.56,21.2,59,3.5564,0,0,4.2095,4.48863637,5.450250648,0,1,4.209515015,67.4,28.23,45,-38.51662,23,31.71448
Calahorra,EC88,34,feathers,unpigmented,no plants,11.29,8.6,59,3.5564,0,0,4.2095,4.48863637,5.450250648,0,1,4.209515015,70.7,29.6,49,-34.51662,-15,-6.28552
Calahorra,EC88,34,feathers,unpigmented,no plants,14.25,17.9,59,3.5564,0,0,4.2095,4.48863637,5.450250648,0,1,4.209515015,64.3,29.1,52,-31.51662,2,10.71448
Calahorra,EC89,39,feathers,unpigmented,no plants,15.22,19.5,30,4.5977,1,0,,2.197224577,4.283323848,1,0,3.219060332,69,28.23,37,-31.25833,2,-15.2624
Calahorra,EC9,45,feathers,pigmented,plants,13.69,17.4,0,2.6928,0,0,2.9058,3.091042453,4.658974367,0,0,3.252367514,35.4,25.15,34,-28.62538,88,60.50518
Calahorra,EC9,45,feathers,pigmented,plants,13.57,14.2,0,2.6928,0,0,2.9058,3.091042453,4.658974367,0,0,3.252367514,66.8,27.85,23,-39.62538,85,57.50518
Calahorra,EC90,34,no feathers,,no plants,11.15,11.3,10,4.2095,0,0,2.8993,2.833213344,4.658974367,1,0,4.209515015,85.4,31.23,130,46.48338,-103,-94.28552
Calahorra,EC90,34,no feathers,,no plants,14.6,18.4,10,4.2095,0,0,2.8993,2.833213344,4.658974367,1,0,4.209515015,85.8,30.59,86,2.48338,-60,-51.28552
Calahorra,EC91,50,no feathers,,plants,15.14,24.5,16,4.8921,1,0,2.9186,1.791759469,4.209541822,1,0,3.466571072,82,28.82,111,42.50458,-82,-100.57197
Calahorra,EC91,51,no feathers,,plants,16.04,24.6,16,4.8921,1,0,2.9186,1.791759469,4.209541822,1,0,3.466571072,84,30.46,96,25.17811,-51,-65.88378
Calahorra,EC92,35,no feathers,,plants,15.85,23.2,17,3.0795,0,1,2.5575,2.564949357,3.778223627,0,0,2.702430536,65.9,27.02,80,0.30334,-57,-54.74998
Calahorra,EC92,35,no feathers,,plants,12.35,14.9,17,3.0795,0,1,2.5575,2.564949357,3.778223627,0,0,2.702430536,66.3,28.26,88,8.30334,-11,-8.74998
Calahorra,EC92,35,no feathers,,plants,14.99,22.2,17,3.0795,0,1,2.5575,2.564949357,3.778223627,0,0,2.702430536,66.9,27.89,83,3.30334,-1,1.25002
Calahorra,EC93,37,feathers,unpigmented,plants,16.05,22,31,2.8927,0,0,2.6821,3.80666249,4.380229337,1,1,3.225309282,69.1,29.13,58,-15.20919,15,6.22473
Calahorra,EC93,37,feathers,unpigmented,plants,16.23,22.9,31,2.8927,0,0,2.6821,3.80666249,4.380229337,1,1,3.225309282,61,28.42,95,21.79081,-7,-15.77527
Calahorra,EC93,37,feathers,unpigmented,plants,8.48,3.8,31,2.8927,0,0,2.6821,3.80666249,4.380229337,1,1,3.225309282,70.8,28.33,61,-12.20919,11,2.22473
Calahorra,EC94,36,feathers,unpigmented,plants,16.05,24.9,38,2.8041,0,0,2.5575,3.496507561,2.787460475,1,0,2.610660163,73.3,29.66,137,60.73915,15,11.4201
Calahorra,EC94,36,feathers,unpigmented,plants,15.5,19.1,38,2.8041,0,0,2.5575,3.496507561,2.787460475,1,0,2.610660163,72.7,27.8,108,31.73915,8,4.4201
Calahorra,EC95,37,no feathers,,plants,15.72,20.9,12,3.9823,0,0,4.6813,3.091042453,5.473634386,1,1,5.203032887,55.3,27.69,54,-19.20919,48,39.22473
Calahorra,EC95,37,no feathers,,plants,15.68,20.5,12,3.9823,0,0,4.6813,3.091042453,5.473634386,1,1,5.203032887,80.6,29.15,89,15.79081,11,2.22473
Calahorra,EC95,37,no feathers,,plants,12.29,12.8,12,3.9823,0,0,4.6813,3.091042453,5.473634386,1,1,5.203032887,68.7,28.82,81,7.79081,53,44.22473
Calahorra,EC96,48,feathers,unpigmented,plants,11.55,11.3,16,1.3979,0,0,1.3979,2.63905733,3.98231647,1,1,3.681241237,71.3,30.49,7,-57.99495,71,46.95527
Calahorra,EC96,48,feathers,unpigmented,plants,13.2,19,16,1.3979,0,0,1.3979,2.63905733,3.98231647,1,1,3.681241237,67.4,30.35,73,8.00505,25,0.95527
Calahorra,EC96,48,feathers,unpigmented,plants,11.11,10.5,16,1.3979,0,0,1.3979,2.63905733,3.98231647,1,1,3.681241237,69.3,29.45,19,-45.99495,54,29.95527
